,identifier,principal_component_1,principal_component_2,iso_forest_scores,iso_forest_outliers
2808,21012,3.009009608930335,-0.8630206180594312,0.09650791410589288,No
2809,21032,4.6751670330268835,-0.20762376658858925,-0.029588268834519593,Yes
2810,21032,4.0020583078018666,-0.7501593020849385,0.026333719433961122,No
2811,21118,3.7952926408500596,-0.7647058221967432,0.05398056127925133,No
2812,21118,3.7697448629629937,-0.4841733560289352,0.07233477071149397,No
2813,21118,3.501042620807578,-0.8292898856861923,0.07067537855668593,No
2814,21118,3.8229395643114166,-0.9029257310660647,0.02783785771207159,No
2815,21124,1.2051229500121141,1.758994659544865,0.05119566178278634,No
2816,21124,0.07292489736717357,1.9658256929493914,0.08184807047631582,No
2817,21124,0.8248977535483172,2.1951659512032142,0.048485252690188885,No
2818,21124,1.5561574088549883,2.1173491109731324,0.02250522056903692,No
2819,21227,1.7390212601888577,-1.1518820107719103,0.05771316246669789,No
2820,21227,-0.17850247706394873,-1.136837430849386,0.13431538087454076,No
2821,21227,-1.5613754886663365,-1.0763450727397177,0.15549792206236823,No
2822,21227,-0.7704429004879069,-1.1001051449244785,0.16318143519974043,No
2823,21238,0.7413111206144917,-0.3306547541738773,0.18912430581711986,No
2824,21238,1.9827011237234105,-0.4003694533323424,0.15969846435207957,No
2825,21238,-0.16046702650672207,-0.28218250460118116,0.2184332377606611,No
2826,21238,0.30639932988668506,-0.5223896264944606,0.21191257808629876,No
2827,21429,-0.7315733951116297,-0.5458669820995722,0.23498469355362223,No
2828,21429,-0.8492780754553552,-0.5771393222619113,0.23474125828368353,No
2829,21429,-0.8481290207264498,-0.50003592659133,0.23603380487052444,No
2830,21429,-0.2213533764988418,-0.520866128623491,0.22644433109379158,No
2831,21431,0.37916018225481546,-0.7705715019246343,0.1905846471944545,No
2832,21431,-0.9264019964593702,-0.672915141376324,0.22826707740264834,No
2833,21431,1.8364869192039148,-0.8503467584853804,0.12918109984977055,No
2834,21431,-0.18793883585642598,-0.6686786517894932,0.2184520162249301,No
2835,21433,0.9878356332598235,-0.14913904834156647,0.17539871402809332,No
2836,21433,-0.018599839492509946,-0.20642991736633337,0.21118761370013522,No
2837,21433,-1.2573172922959994,-0.44672283983457334,0.21797832941467177,No
2838,21433,-0.6655995961107611,-0.501928441192082,0.2293104681876511,No
2839,21440,-0.8439082982590874,-0.8667745918977962,0.21379745905181669,No
2840,21440,-0.8004633240487592,-0.930112900620005,0.2042146734926324,No
2841,21440,-1.2851645612575848,-0.9197833056473268,0.20147025634042237,No
2842,21440,-0.3484265531662161,-0.9619336054141908,0.1846217995363807,No
2843,21515,-0.984707045160798,-0.37902270977566943,0.2297024471696466,No
2844,21515,0.059197467724438756,-0.5100229015038796,0.21615992904327352,No
2845,21515,-1.1145165794211933,-0.4777966636706347,0.2309741662196031,No
